freq,sf,pos,size,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,date,Run,expName,participant,frameRate,
1,0.03,"[-45, 45]","[55, 55]",0,0,0,0,2017_Sep_12_1621,Run1,RF,etst,59.9747830579,
1,0.03,"[0, 45]","[55, 55]",0,1,1,1,2017_Sep_12_1621,Run1,RF,etst,59.9747830579,
1,0.03,"[45, 45]","[55, 55]",0,2,2,2,2017_Sep_12_1621,Run1,RF,etst,59.9747830579,
1,0.03,"[-45, 0]","[55, 55]",0,3,3,3,2017_Sep_12_1621,Run1,RF,etst,59.9747830579,
1,0.03,"[0, 0]","[55, 55]",0,4,4,4,2017_Sep_12_1621,Run1,RF,etst,59.9747830579,
1,0.03,"[45, 0]","[55, 55]",0,5,5,5,2017_Sep_12_1621,Run1,RF,etst,59.9747830579,
1,0.03,"[-45, -45]","[55, 55]",0,6,6,6,2017_Sep_12_1621,Run1,RF,etst,59.9747830579,
1,0.03,"[0, -45]","[55, 55]",0,7,7,7,2017_Sep_12_1621,Run1,RF,etst,59.9747830579,
1,0.03,"[45, -45]","[55, 55]",0,8,8,8,2017_Sep_12_1621,Run1,RF,etst,59.9747830579,
1,0.03,"[-45, 45]","[55, 55]",1,0,9,0,2017_Sep_12_1621,Run1,RF,etst,59.9747830579,
1,0.03,"[0, 45]","[55, 55]",1,1,10,1,2017_Sep_12_1621,Run1,RF,etst,59.9747830579,
1,0.03,"[45, 45]","[55, 55]",1,2,11,2,2017_Sep_12_1621,Run1,RF,etst,59.9747830579,
1,0.03,"[-45, 0]","[55, 55]",1,3,12,3,2017_Sep_12_1621,Run1,RF,etst,59.9747830579,
1,0.03,"[0, 0]","[55, 55]",1,4,13,4,2017_Sep_12_1621,Run1,RF,etst,59.9747830579,
1,0.03,"[45, 0]","[55, 55]",1,5,14,5,2017_Sep_12_1621,Run1,RF,etst,59.9747830579,
1,0.03,"[-45, -45]","[55, 55]",1,6,15,6,2017_Sep_12_1621,Run1,RF,etst,59.9747830579,
1,0.03,"[0, -45]","[55, 55]",1,7,16,7,2017_Sep_12_1621,Run1,RF,etst,59.9747830579,
1,0.03,"[45, -45]","[55, 55]",1,8,17,8,2017_Sep_12_1621,Run1,RF,etst,59.9747830579,
1,0.03,"[-45, 45]","[55, 55]",2,0,18,0,2017_Sep_12_1621,Run1,RF,etst,59.9747830579,
1,0.03,"[0, 45]","[55, 55]",2,1,19,1,2017_Sep_12_1621,Run1,RF,etst,59.9747830579,
1,0.03,"[45, 45]","[55, 55]",2,2,20,2,2017_Sep_12_1621,Run1,RF,etst,59.9747830579,
1,0.03,"[-45, 0]","[55, 55]",2,3,21,3,2017_Sep_12_1621,Run1,RF,etst,59.9747830579,
1,0.03,"[0, 0]","[55, 55]",2,4,22,4,2017_Sep_12_1621,Run1,RF,etst,59.9747830579,
1,0.03,"[45, 0]","[55, 55]",2,5,23,5,2017_Sep_12_1621,Run1,RF,etst,59.9747830579,
1,0.03,"[-45, -45]","[55, 55]",2,6,24,6,2017_Sep_12_1621,Run1,RF,etst,59.9747830579,
1,0.03,"[0, -45]","[55, 55]",2,7,25,7,2017_Sep_12_1621,Run1,RF,etst,59.9747830579,
1,0.03,"[45, -45]","[55, 55]",2,8,26,8,2017_Sep_12_1621,Run1,RF,etst,59.9747830579,
1,0.03,"[-45, 45]","[55, 55]",3,0,27,0,2017_Sep_12_1621,Run1,RF,etst,59.9747830579,
1,0.03,"[0, 45]","[55, 55]",3,1,28,1,2017_Sep_12_1621,Run1,RF,etst,59.9747830579,
1,0.03,"[45, 45]","[55, 55]",3,2,29,2,2017_Sep_12_1621,Run1,RF,etst,59.9747830579,
1,0.03,"[-45, 0]","[55, 55]",3,3,30,3,2017_Sep_12_1621,Run1,RF,etst,59.9747830579,
1,0.03,"[0, 0]","[55, 55]",3,4,31,4,2017_Sep_12_1621,Run1,RF,etst,59.9747830579,
1,0.03,"[45, 0]","[55, 55]",3,5,32,5,2017_Sep_12_1621,Run1,RF,etst,59.9747830579,
1,0.03,"[-45, -45]","[55, 55]",3,6,33,6,2017_Sep_12_1621,Run1,RF,etst,59.9747830579,
1,0.03,"[0, -45]","[55, 55]",3,7,34,7,2017_Sep_12_1621,Run1,RF,etst,59.9747830579,
